entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,cum_pnl,nav,peak,dd_pct
2024-06-10,2024-06-25,2024-06-25,22154.8,22800,21500,23300,21000,989.38,505.0,484.38,40,4,77500.32,-489.37700000000007,-78300.32,EXPIRY,2024-06,2024,716194.5599999998,916194.5599999998,916194.5599999998,0.0
2024-07-01,2024-07-30,2024-07-30,23631.0,24350,22900,24850,22400,403.56,0.0,403.56,40,4,64568.96,96.44400000000019,15431.04000000003,EXPIRY,2024-07,2024,780763.5199999998,980763.5199999998,980763.5199999998,0.0
2024-08-05,2024-08-27,2024-08-27,22762.7,23450,22100,23950,21600,390.33,130.09,260.24,40,4,41639.04,109.66800000000012,17546.88000000002,EXPIRY,2024-08,2024,822402.5599999998,1022402.5599999998,1022402.5599999998,0.0
2024-09-16,2024-09-24,2024-09-24,23989.8,24700,23250,25200,22750,795.88,185.49,610.39,40,4,97662.4,-295.87649999999996,-47340.23999999999,EXPIRY,2024-09,2024,920064.9599999998,1120064.96,1120064.96,0.0
2024-10-14,2024-10-29,2024-10-29,23857.5,24550,23150,25050,22650,94.39,0.0,94.39,65,4,24541.66,405.609,105458.34,EXPIRY,2024-10,2024,944606.6199999999,1144606.6199999999,1144606.6199999999,0.0
2024-11-11,2024-11-26,2024-11-26,23960.0,24700,23250,25200,22750,246.36,0.0,246.36,65,4,64053.86,253.6389999999999,65946.13999999997,EXPIRY,2024-11,2024,1008660.4799999999,1208660.48,1208660.48,0.0
2024-12-02,2024-12-31,2024-12-31,24072.7,24800,23350,25300,22850,163.41,0.0,163.41,65,4,42486.34,336.59100000000007,87513.66000000002,EXPIRY,2024-12,2024,1051146.8199999998,1251146.8199999998,1251146.8199999998,0.0
2025-01-06,2025-01-28,2025-01-28,23317.8,24000,22600,24500,22100,183.78,0.0,183.78,65,4,47782.41,316.2215,82217.59,EXPIRY,2025-01,2025,1098929.2299999997,1298929.2299999997,1298929.2299999997,0.0
2025-02-03,2025-02-25,2025-02-25,23132.5,23850,22450,24350,21950,175.51,0.0,175.51,65,4,45631.69,324.49350000000004,84368.31000000001,EXPIRY,2025-02,2025,1144560.9199999997,1344560.9199999997,1344560.9199999997,0.0
2025-03-03,2025-03-10,2025-03-25,22953.0,23650,22250,24150,21750,6.68,93.93,-87.25,65,4,-22685.0,493.32,128263.2,SL,2025-03,2025,1121875.9199999997,1321875.9199999997,1344560.9199999997,-1.687167882285323
2025-04-07,2025-04-24,2025-04-24,23908.5,24650,23200,25150,22700,405.91,505.0,-99.09,65,4,-25763.79,94.09150000000011,24463.79000000003,EXPIRY,2025-04,2025,1096112.1299999997,1296112.1299999997,1344560.9199999997,-3.6033168359526635
2025-04-28,2025-05-29,2025-05-29,26291.7,27100,25500,27600,25000,185.44,0.0,185.44,65,4,48214.01,314.5615,81785.99,EXPIRY,2025-04,2025,1144326.1399999997,1344326.1399999997,1344560.9199999997,-0.017461462437862174
2025-06-09,2025-06-26,2025-06-26,26992.8,27800,26200,28300,25700,118.97,0.0,118.97,65,4,30930.9,381.03499999999997,99069.09999999999,EXPIRY,2025-06,2025,1175257.0399999996,1375257.0399999996,1375257.0399999996,0.0
2025-07-21,2025-07-31,2025-07-31,26987.0,27800,26200,28300,25700,698.01,0.0,698.01,65,4,181481.82,-198.00700000000006,-51481.820000000014,EXPIRY,2025-07,2025,1356738.8599999996,1556738.8599999996,1556738.8599999996,0.0
2025-08-04,2025-08-28,2025-08-28,26476.6,27250,25700,27750,25200,281.97,60.3,221.67,65,4,57634.33,218.03250000000003,56688.450000000004,EXPIRY,2025-08,2025,1414373.1899999997,1614373.1899999997,1614373.1899999997,0.0
2025-09-01,2025-09-30,2025-09-30,25743.5,26500,24950,27000,24450,182.35,0.0,182.35,65,4,47410.35,317.6525,82589.65,EXPIRY,2025-09,2025,1461783.5399999998,1661783.5399999998,1661783.5399999998,0.0
2025-10-13,2025-10-28,2025-10-28,26885.2,27700,26100,28200,25600,329.52,0.0,329.52,65,4,85674.55,170.48250000000007,44325.45000000002,EXPIRY,2025-10,2025,1547458.0899999999,1747458.0899999999,1747458.0899999999,0.0
2025-11-03,2025-11-25,2025-11-25,27306.2,28150,26500,28650,26000,175.31,0.0,175.31,65,4,45581.25,324.6875,84418.75,EXPIRY,2025-11,2025,1593039.3399999999,1793039.3399999999,1793039.3399999999,0.0
2025-12-01,2025-12-30,2025-12-30,27814.5,28650,27000,29150,26500,132.57,0.0,132.57,65,4,34467.68,367.43199999999996,95532.31999999999,EXPIRY,2025-12,2025,1627507.0199999998,1827507.0199999998,1827507.0199999998,0.0
2026-01-05,2026-01-27,2026-01-27,27851.5,28700,27000,29200,26500,61.61,0.0,61.61,65,4,16019.9,438.385,113980.09999999999,EXPIRY,2026-01,2026,1643526.9199999997,1843526.9199999997,1843526.9199999997,0.0
2026-02-02,2026-02-18,2026-02-24,26799.0,27600,26000,28100,25500,142.39,452.23,-309.84,65,4,-80559.05,357.615,92979.90000000001,SL,2026-02,2026,1562967.8699999996,1762967.8699999996,1843526.9199999997,-4.369833123999078
2026-04-01,2026-04-28,2026-04-28,23521.8,24250,22800,24750,22300,127.39,505.0,-377.61,65,4,-98178.08,372.60799999999995,96878.07999999999,EXPIRY,2026-04,2026,1464789.7899999996,1664789.7899999996,1843526.9199999997,-9.695390290259509
2026-05-04,2026-05-26,2026-05-26,25814.4,26600,25050,27100,24550,308.96,0.0,308.96,65,4,80328.56,191.04399999999998,49671.439999999995,EXPIRY,2026-05,2026,1545118.3499999996,1745118.3499999996,1843526.9199999997,-5.33805983153206
