symbol,close,mcap_cr,weight
HINDZINC,311.6,7900.0,0.07
HOMEFIRST,590.1,1343.0,0.01
HONAUT,45714.5,10105.0,0.09
HUDCO,45.05,1623.0,0.01
HDFC,2754.3,497111.0,4.33
ICICIBANK,700.85,485931.0,4.23
ICICIGI,1589.5,40542.0,0.35
ICICIPRULI,671.85,26063.0,0.23
ISEC,758.35,6116.0,0.05
IDBI,46.3,2489.0,0.02
IDFCFIRSTB,47.65,14798.0,0.13
IDFC,54.95,7369.0,0.06
IFBIND,1189.65,1205.0,0.01
IIFL,287.0,3483.0,0.03
IIFLWAM,1572.0,5700.0,0.05
IOLCP,593.8,1360.0,0.01
IRB,203.6,3005.0,0.03
IRCON,45.2,1148.0,0.01
ITC,236.15,206571.0,1.8
ITI,124.5,1162.0,0.01
INDIACEM,200.3,2731.0,0.02
IBULHSGFIN,231.65,8034.0,0.07
IBREALEST,149.95,4977.0,0.04
INDIAMART,8378.9,12805.0,0.11
INDIANB,140.35,3496.0,0.03
IEX,645.95,16254.0,0.14
INDHOTEL,181.4,12705.0,0.11
IOC,125.3,31849.0,0.28
IOB,22.75,1720.0,0.01
IRCTC,3798.5,20056.0,0.17
IRFC,22.85,4181.0,0.04
INDIGOPNTS,2560.25,2070.0,0.02
ICIL,295.85,2394.0,0.02
INDOCO,449.25,1697.0,0.01
IGL,533.1,18659.0,0.16
INDUSTOWER,308.7,24958.0,0.22
INDUSINDBK,1111.9,67135.0,0.58
INFIBEAM,41.35,2754.0,0.02
NAUKRI,6431.4,49696.0,0.43
INFY,1675.2,621048.0,5.41
INGERRAND,981.7,775.0,0.01
INOXLEISUR,393.25,2646.0,0.02
INTELLECT,709.95,5997.0,0.05
INDIGO,2021.7,19466.0,0.17
IPCALAB,2411.35,16518.0,0.14
JBCHEPHARM,1866.95,6348.0,0.06
JKCEMENT,3107.75,10085.0,0.09
JKLAKSHMI,617.9,3926.0,0.03
JKPAPER,229.3,1709.0,0.01
JKTYRE,150.4,1629.0,0.01
JMFINANCIL,92.55,3883.0,0.03
JSWENERGY,389.9,16019.0,0.14
JSWSTEEL,668.3,66233.0,0.58
JAMNAAUTO,89.35,1780.0,0.02
JINDALSAW,114.05,1313.0,0.01
JSLHISAR,288.6,2860.0,0.02
JSL,162.0,2526.0,0.02
JINDALSTEL,389.25,15883.0,0.14
JCHAC,2143.85,1516.0,0.01
JUBLFOOD,4040.9,30930.0,0.27
JUBLINGREA,755.75,5898.0,0.05
JUBLPHARMA,623.65,4867.0,0.04
JUSTDIAL,989.2,3967.0,0.03
JYOTHYLAB,168.6,2291.0,0.02
KPRMILL,425.25,3658.0,0.03
KEI,927.1,5012.0,0.04
KNRCON,286.75,3790.0,0.03
KPITTECH,341.75,5434.0,0.05
KRBL,316.15,2307.0,0.02
KSB,1221.2,1275.0,0.01
KAJARIACER,1197.0,9907.0,0.09
KALPATPOWR,404.2,2709.0,0.02
KALYANKJIL,72.9,976.0,0.01
KANSAINER,633.25,8532.0,0.07
KARURVYSYA,47.9,3751.0,0.03
KSCL,579.1,1572.0,0.01
KEC,443.1,5468.0,0.05
KOTAKBANK,2005.5,294295.0,2.56
L&TFH,90.95,7197.0,0.06
LTTS,4697.55,12846.0,0.11
LICHSGFIN,427.05,12920.0,0.11
LAOPALA,309.8,1169.0,0.01
LAXMIMACH,8171.8,5500.0,0.05
LTI,5765.15,26257.0,0.23
LT,1702.95,205717.0,1.79
LAURUSLABS,616.45,24148.0,0.21
LXCHEM,546.8,2595.0,0.02
LEMONTREE,45.4,2122.0,0.02
LINDEINDIA,2604.45,5553.0,0.05
LUPIN,951.6,22899.0,0.2
LUXIND,3520.45,2753.0,0.02
MMTC,44.9,674.0,0.01
MOIL,163.6,1398.0,0.01
MRF,79375.55,16496.0,0.14
LODHA,1057.5,5203.0,0.05
MGL,1082.65,6203.0,0.05
M&MFIN,185.2,10983.0,0.1
M&M,803.05,76873.0,0.67
MAHINDCIE,236.15,2238.0,0.02
MHRIL,245.8,1577.0,0.01
MAHLOG,732.45,2208.0,0.02
MANAPPURAM,169.15,9163.0,0.08
MRPL,46.7,900.0,0.01
MARICO,547.5,28294.0,0.25
MARUTI,7338.05,97534.0,0.85
MASTEK,3119.0,4438.0,0.04
MFSL,1014.3,22053.0,0.19
MAXHEALTH,359.55,10072.0,0.09
MAZDOCK,251.15,760.0,0.01
METROPOLIS,2700.8,6910.0,0.06
MINDTREE,4200.1,26991.0,0.24
MINDACORP,127.05,1002.0,0.01
MINDAIND,738.7,6963.0,0.06
MIDHANI,187.8,915.0,0.01
MOTILALOFS,858.75,2903.0,0.03
MPHASIS,3104.4,25584.0,0.22
MCX,1658.65,8459.0,0.07
MUTHOOTFIN,1450.3,15710.0,0.14
NATCOPHARM,891.55,8291.0,0.07
NBCC,48.7,3331.0,0.03
NCC,82.45,4023.0,0.04
NESCO,606.9,1326.0,0.01
NHPC,29.85,7796.0,0.07
NLCINDIA,61.35,1361.0,0.01
NMDC,143.0,16344.0,0.14
NOCIL,290.7,3193.0,0.03
NTPC,141.85,67398.0,0.59
NH,502.3,3387.0,0.03
NATIONALUM,93.4,8406.0,0.07
NFL,59.55,730.0,0.01
NAVINFLUOR,3684.75,12768.0,0.11
NAZARA,2292.1,1745.0,0.02
NESTLEIND,19445.55,69370.0,0.6
NETWORK18,51.95,1305.0,0.01
NILKAMAL,2833.4,1480.0,0.01
NAM-INDIA,425.35,6861.0,0.06
OBEROIRLTY,964.2,11219.0,0.1
ONGC,144.5,52718.0,0.46
OIL,260.2,9311.0,0.08
OFSS,4555.95,10599.0,0.09
ORIENTELEC,331.85,3802.0,0.03
PIIND,3178.35,25557.0,0.22
PNBHOUSING,621.9,3669.0,0.03
PNCINFRA,382.85,4322.0,0.04
PVR,1599.35,6998.0,0.06
PAGEIND,31704.9,18389.0,0.16
PERSISTENT,3716.3,18745.0,0.16
PETRONET,238.55,17891.0,0.16
PFIZER,5581.1,8681.0,0.08
PHILIPCARB,267.2,2072.0,0.02
PHOENIXLTD,958.45,8900.0,0.08
PIDILITIND,2381.95,36312.0,0.32
PEL,2595.8,31596.0,0.28
POLYMED,927.15,4889.0,0.04
POLYCAB,2389.0,9980.0,0.09
