trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-24,wpe_long,22000,42.2,75041,105000,27235.0,41348085921.25,205837463.0,7558.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-27,ce_short,24150,1.85,463,30200,122.0,279558543.75,55676.0,456.0,0.5862
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-27,pe_short,22300,137.6,76507,108750,41937.0,42924513406.25,684278608.0,16317.0,0.0
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-27,wce_long,24450,1.95,46,11525,19.0,28119687.5,5830.0,307.0,3.8348
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-27,wpe_long,22000,50.45,77393,147125,34426.0,42673093376.25,253790995.0,7372.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-28,ce_short,24150,1.0,2662,29150,633.0,1607294700.0,173030.0,273.0,0.1886
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-28,pe_short,22300,23.9,141468,242775,61957.0,78983400756.25,219770538.0,3547.0,0.0001
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-28,wce_long,24450,0.9,238,10250,80.0,145484593.75,13923.0,174.0,1.6059
2,FINNIFTY,2025-01-08,2025-01-28,2025-01-28,wpe_long,22000,6.65,134469,337975,44159.0,73996258186.25,58124225.0,1316.0,0.0002
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-10,ce_short,24350,73.45,620,20150,323.0,982259772.0,2960035.0,9164.0,0.0074
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-10,pe_short,22450,58.4,1097,35100,561.0,1609396376.25,4164212.0,7423.0,0.0042
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-10,wce_long,24650,27.5,83,11830,65.0,133422243.5,148362.0,2282.0,0.0651
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-10,wpe_long,22150,31.3,192,7150,99.0,277545063.25,390624.0,3946.0,0.0281
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-11,ce_short,24350,37.0,389,16510,282.0,615587063.0,935545.0,3318.0,0.0235
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-11,pe_short,22450,100.1,1782,38415,1025.0,2617833806.25,11594583.0,11312.0,0.0015
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-11,wce_long,24650,14.3,187,11440,107.0,300442772.5,173816.0,1624.0,0.0555
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-11,wpe_long,22150,54.3,410,6695,334.0,593127008.5,1447095.0,4333.0,0.0076
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-12,ce_short,24350,40.45,227,16965,156.0,359100014.0,596840.0,3826.0,0.0368
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-12,pe_short,22450,77.7,3799,42185,2300.0,5584070592.75,19186850.0,8342.0,0.0009
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-12,wce_long,24650,15.85,677,12025,474.0,1087525864.75,697479.0,1471.0,0.0138
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-12,wpe_long,22150,42.1,602,8645,439.0,871371312.5,1647373.0,3753.0,0.0067
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-13,ce_short,24350,40.75,828,23205,503.0,1310570423.5,2193165.0,4360.0,0.01
3,FINNIFTY,2025-02-10,2025-02-25,2025-02-13,pe_short,22450,62.35,2961,46865,1708.0,4341316924.75,12000193.0,7026.0,0.0015
