trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi,num_trades,notional_lakh,traded_value_inr,avg_trade_inr,our_share_of_traded
9,FINNIFTY,2024-06-19,2024-06-25,2024-06-25,wpe_long,22350,0.1,700970,1916840,,6266843.6,2803880.0,,0.002
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-21,ce_short,23600,27.0,92537,186575,31196.0,54654691722.5,99939960.0,3204.0,0.0001
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-21,pe_short,22700,25.35,68195,131425,27206.0,38766640447.5,69149730.0,2542.0,0.0001
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-21,wce_long,23750,13.8,30530,79425,13337.0,18137093911.25,16852560.0,1264.0,0.0002
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-21,wpe_long,22550,15.65,31229,76275,16101.0,17623464422.5,19549354.0,1214.0,0.0002
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-22,ce_short,23600,26.8,153486,346875,50696.0,90668940878.75,164536992.0,3246.0,0.0
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-22,pe_short,22700,11.05,72650,245600,23353.0,41252368083.75,32111300.0,1375.0,0.0002
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-22,wce_long,23750,12.4,106543,162325,27840.0,63296060437.5,52845328.0,1898.0,0.0001
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-22,wpe_long,22550,6.3,39752,88750,15535.0,22417893555.0,10017504.0,645.0,0.0003
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-23,ce_short,23600,15.6,232647,473450,63921.0,137363266297.5,145171728.0,2271.0,0.0
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-23,pe_short,22700,7.7,143053,340825,38909.0,81210815543.75,44060324.0,1132.0,0.0001
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-23,wce_long,23750,6.55,161740,266350,37320.0,96064034885.0,42375880.0,1135.0,0.0001
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-23,wpe_long,22550,4.1,58085,229325,16901.0,32752082026.25,9525940.0,564.0,0.0003
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-26,ce_short,23600,9.3,1020753,1923825,177377.0,602641241338.75,379720116.0,2141.0,0.0
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-26,pe_short,22700,1.25,218382,931925,34962.0,123940091862.5,10919100.0,312.0,0.0005
10,FINNIFTY,2024-08-21,2024-08-27,2024-08-26,wce_long,23750,1.85,483440,957025,81439.0,287097838501.25,35774560.0,439.0,0.0001
