trade_idx,underlying,entry_date,expiry,date,leg,strike,close,volume,oi
25,FINNIFTY,2025-07-08,2025-07-31,2025-07-31,wce_long,27700,0.15,10585,36335
25,FINNIFTY,2025-07-08,2025-07-31,2025-07-31,wpe_long,26350,0.25,60652,29705
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-08,ce_short,26700,109.65,860,46605
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-08,pe_short,25650,58.45,0,4030
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-08,wce_long,26850,78.25,185,16770
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-08,wpe_long,25500,71.25,2123,49010
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-11,ce_short,26700,145.7,1081,59670
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-11,pe_short,25650,58.45,0,4030
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-11,wce_long,26850,103.35,332,12870
26,FINNIFTY,2025-08-08,2025-08-28,2025-08-11,wpe_long,25500,42.8,2818,44330
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-11,ce_short,26700,1645.95,0,0
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-11,pe_short,25650,66.5,84,12935
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-11,wce_long,26850,57.0,72,3380
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-11,wpe_long,25500,48.2,2196,44005
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-12,ce_short,26700,1645.95,0,0
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-12,pe_short,25650,39.25,221,10790
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-12,wce_long,26850,79.6,417,5525
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-12,wpe_long,25500,29.3,2206,55965
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-15,ce_short,26700,1645.95,0,0
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-15,pe_short,25650,30.45,38,10335
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-15,wce_long,26850,80.8,1119,17875
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-15,wpe_long,25500,23.7,691,63765
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-16,ce_short,26700,1645.95,0,0
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-16,pe_short,25650,21.25,6,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-16,wce_long,26850,95.2,487,15665
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-16,wpe_long,25500,18.45,1211,70005
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-17,ce_short,26700,184.35,891,14625
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-17,pe_short,25650,21.25,0,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-17,wce_long,26850,117.35,1065,18915
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-17,wpe_long,25500,14.8,1521,96395
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-18,ce_short,26700,217.55,6999,37180
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-18,pe_short,25650,21.25,0,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-18,wce_long,26850,140.6,733,20865
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-18,wpe_long,25500,10.15,1808,78390
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-19,ce_short,26700,127.95,3092,45760
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-19,pe_short,25650,21.25,0,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-19,wce_long,26850,74.9,1810,26455
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-19,wpe_long,25500,9.55,1602,86775
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-22,ce_short,26700,120.95,5992,55965
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-22,pe_short,25650,12.5,45,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-22,wce_long,26850,67.4,1657,29055
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-22,wpe_long,25500,9.55,1579,72865
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-23,ce_short,26700,126.05,5383,57200
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-23,pe_short,25650,8.55,4,10205
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-23,wce_long,26850,67.85,864,30420
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-23,wpe_long,25500,6.85,1609,68120
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-24,ce_short,26700,45.55,10043,53105
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-24,pe_short,25650,7.7,231,10855
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-24,wce_long,26850,23.05,1647,18720
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-24,wpe_long,25500,5.9,3661,82615
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-25,ce_short,26700,20.5,7467,64220
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-25,pe_short,25650,7.45,134,11115
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-25,wce_long,26850,10.0,854,25740
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-25,wpe_long,25500,5.5,3933,138645
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-26,ce_short,26700,5.6,8820,110240
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-26,pe_short,25650,18.4,2832,24635
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-26,wce_long,26850,3.8,1752,28275
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-26,wpe_long,25500,10.7,10615,160030
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-29,ce_short,26700,1.95,5958,79365
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-29,pe_short,25650,6.7,6333,16770
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-29,wce_long,26850,1.5,2061,12350
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-29,wpe_long,25500,4.45,13503,159965
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-30,ce_short,26700,0.25,10043,76440
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-30,pe_short,25650,0.25,24369,15210
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-30,wce_long,26850,0.3,3070,48360
27,FINNIFTY,2025-09-11,2025-09-30,2025-09-30,wpe_long,25500,0.3,21403,81510
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-10,ce_short,27400,844.4,0,0
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-10,pe_short,26300,73.5,501,45045
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-10,wce_long,27550,99.2,0,0
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-10,wpe_long,26150,56.15,22,6435
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-13,ce_short,27400,844.4,0,0
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-13,pe_short,26300,75.35,338,41080
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-13,wce_long,27550,71.15,221,11635
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-13,wpe_long,26150,50.8,64,8840
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-14,ce_short,27400,844.4,0,0
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-14,pe_short,26300,81.7,483,32955
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-14,wce_long,27550,51.65,208,12675
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-14,wpe_long,26150,60.05,61,10010
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-15,ce_short,27400,844.4,0,0
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-15,pe_short,26300,43.4,377,31200
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-15,wce_long,27550,87.0,337,17615
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-15,wpe_long,26150,40.4,99,4550
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-16,ce_short,27400,228.9,1049,14820
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-16,pe_short,26300,29.75,515,25220
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-16,wce_long,27550,160.2,701,11245
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-16,wpe_long,26150,24.5,68,3445
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-17,ce_short,27400,334.0,5549,30290
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-17,pe_short,26300,29.1,2527,14820
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-17,wce_long,27550,241.05,1704,8580
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-17,wpe_long,26150,21.0,27,2275
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-20,ce_short,27400,272.6,1040,38025
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-20,pe_short,26300,14.5,352,22555
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-20,wce_long,27550,186.75,3028,22490
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-20,wpe_long,26150,21.0,0,2275
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-21,ce_short,27400,245.8,147,36465
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-21,pe_short,26300,11.3,142,24765
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-21,wce_long,27550,163.85,550,20280
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-21,wpe_long,26150,10.25,260,7865
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-23,ce_short,27400,248.7,221,34775
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-23,pe_short,26300,8.45,1543,40365
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-23,wce_long,27550,160.55,1164,11115
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-23,wpe_long,26150,7.0,446,4550
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-24,ce_short,27400,119.55,11756,59475
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-24,pe_short,26300,6.25,2382,59735
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-24,wce_long,27550,59.65,12538,25805
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-24,wpe_long,26150,4.25,458,8450
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-27,ce_short,27400,196.8,6053,30485
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-27,pe_short,26300,2.7,2874,37245
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-27,wce_long,27550,90.2,41578,43745
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-27,wpe_long,26150,3.1,264,11570
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-28,ce_short,27400,28.55,482161,377455
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-28,pe_short,26300,0.25,1835,32695
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-28,wce_long,27550,0.3,208891,207025
28,FINNIFTY,2025-10-10,2025-10-28,2025-10-28,wpe_long,26150,0.2,1394,6240
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-10,ce_short,27850,126.7,25,2535
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-10,pe_short,26750,84.65,33,3445
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-10,wce_long,28000,85.95,785,42835
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-10,wpe_long,26600,65.35,124,11505
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-11,ce_short,27850,102.5,3,2535
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-11,pe_short,26750,90.0,87,4485
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-11,wce_long,28000,71.15,1547,44265
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-11,wpe_long,26600,66.75,226,10530
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-12,ce_short,27850,98.45,106,2795
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-12,pe_short,26750,63.15,34,4550
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-12,wce_long,28000,68.9,1435,41860
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-12,wpe_long,26600,48.15,175,7605
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-13,ce_short,27850,106.95,138,3770
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-13,pe_short,26750,56.45,18,4940
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-13,wce_long,28000,71.55,1419,40040
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-13,wpe_long,26600,44.05,73,7085
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-14,ce_short,27850,112.6,171,3575
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-14,pe_short,26750,55.15,8,5135
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-14,wce_long,28000,75.55,1135,43290
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-14,wpe_long,26600,32.8,276,8450
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-17,ce_short,27850,135.05,275,6825
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-17,pe_short,26750,25.75,32,3965
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-17,wce_long,28000,86.2,2882,35100
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-17,wpe_long,26600,19.4,243,8385
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-18,ce_short,27850,91.9,467,14495
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-18,pe_short,26750,20.95,53,3055
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-18,wce_long,28000,56.9,1545,32825
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-18,wpe_long,26600,15.05,217,10335
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-19,ce_short,27850,93.3,1772,23660
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-19,pe_short,26750,12.35,554,7085
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-19,wce_long,28000,52.35,4143,92625
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-19,wpe_long,26600,9.5,1619,50115
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-20,ce_short,27850,164.65,5166,22555
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-20,pe_short,26750,5.6,731,9945
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-20,wce_long,28000,95.75,12492,77740
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-20,wpe_long,26600,4.65,2051,24375
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-21,ce_short,27850,39.25,6197,32305
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-21,pe_short,26750,7.65,544,15795
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-21,wce_long,28000,19.35,14038,103740
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-21,wpe_long,26600,6.05,3139,40105
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-24,ce_short,27850,12.45,26240,64220
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-24,pe_short,26750,3.15,2059,11180
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-24,wce_long,28000,4.65,26633,91520
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-24,wpe_long,26600,2.3,3214,43225
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-25,ce_short,27850,0.15,51630,27495
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-25,pe_short,26750,0.2,1787,4420
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-25,wce_long,28000,0.1,19166,73060
29,FINNIFTY,2025-11-10,2025-11-25,2025-11-25,wpe_long,26600,0.15,3355,33475
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-08,ce_short,28250,143.6,104,16640
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-08,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-08,wce_long,28400,99.35,89,4030
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-08,wpe_long,27000,65.85,682,16510
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-09,ce_short,28250,100.85,59,16575
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-09,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-09,wce_long,28400,67.85,119,5330
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-09,wpe_long,27000,78.3,408,18200
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-10,ce_short,28250,62.75,196,11310
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-10,pe_short,27150,386.0,0,0
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-10,wce_long,28400,43.15,206,6305
30,FINNIFTY,2025-12-08,2025-12-30,2025-12-10,wpe_long,27000,99.0,1990,23140
