Date,Open,High,Low,Close,Volume
2024-05-15 04:00:00,53.45,53.9,51.75,52.4,2110693.0
2024-05-16 04:00:00,52.7,53.2,51.0,52.25,2156497.0
2024-05-17 04:00:00,52.5,53.05,51.9,52.85,1790353.0
2024-05-18 04:00:00,53.25,54.45,52.95,53.65,602624.0
2024-05-21 04:00:00,53.6,53.65,52.6,52.7,1542581.0
2024-05-22 04:00:00,53.0,53.1,52.05,52.5,1827193.0
2024-05-23 04:00:00,52.9,53.5,52.65,53.2,1836482.0
2024-05-24 04:00:00,53.3,53.75,52.5,52.75,2037179.0
2024-05-27 04:00:00,52.75,54.25,52.15,53.25,3243179.0
2024-05-28 04:00:00,53.25,53.35,52.2,52.45,1340036.0
2024-05-29 04:00:00,52.35,52.4,51.85,52.1,1131044.0
2024-05-30 04:00:00,52.15,52.45,51.2,51.4,1783453.0
2024-05-31 04:00:00,51.5,51.95,50.45,51.4,2104029.0
2024-06-03 04:00:00,55.5,55.5,52.15,53.3,3458551.0
2024-06-04 04:00:00,53.3,53.3,47.3,49.5,4716143.0
2024-06-05 04:00:00,50.35,52.1,49.0,51.85,2368054.0
2024-06-06 04:00:00,52.25,53.1,51.85,52.1,2512711.0
2024-06-07 04:00:00,51.85,52.45,51.8,52.1,2368699.0
2024-06-10 04:00:00,52.45,52.98,52.26,52.5,1828208.0
2024-06-11 04:00:00,52.6,53.27,52.1,52.84,2339890.0
2024-06-12 04:00:00,53.15,53.65,52.8,53.4,1911512.0
2024-06-13 04:00:00,53.6,54.5,53.0,53.84,4168431.0
2024-06-14 04:00:00,53.95,54.4,53.42,53.92,1927430.0
2024-06-18 04:00:00,53.92,54.0,53.1,53.22,1958716.0
2024-06-19 04:00:00,53.96,54.0,53.0,53.3,2369443.0
2024-06-20 04:00:00,53.35,55.2,51.6,52.33,11982334.0
2024-06-21 04:00:00,52.8,53.58,52.62,53.05,2571481.0
2024-06-24 04:00:00,52.99,53.4,51.8,52.08,2328766.0
2024-06-25 04:00:00,52.21,52.9,51.96,52.04,1521413.0
2024-06-26 04:00:00,52.18,52.39,51.87,51.97,1674655.0
2024-06-27 04:00:00,51.86,52.1,50.45,50.9,2754155.0
2024-06-28 04:00:00,50.9,51.56,50.9,51.22,1378008.0
2024-07-01 04:00:00,51.22,51.7,50.9,51.0,1624088.0
2024-07-02 04:00:00,51.09,51.35,50.54,51.06,1173748.0
2024-07-03 04:00:00,51.29,51.29,49.81,50.36,3491494.0
2024-07-04 04:00:00,50.75,53.05,50.61,52.95,7482249.0
2024-07-05 04:00:00,52.85,52.97,51.05,51.15,7479900.0
2024-07-08 04:00:00,51.3,51.6,50.89,50.94,2324160.0
2024-07-09 04:00:00,51.5,51.87,50.62,50.8,3884420.0
2024-07-10 04:00:00,51.0,51.17,50.16,50.24,3167882.0
2024-07-11 04:00:00,50.5,50.84,50.01,50.08,2383769.0
2024-07-12 04:00:00,50.13,51.36,50.02,51.02,5208297.0
2024-07-15 04:00:00,51.35,51.47,50.4,51.01,4494920.0
2024-07-16 04:00:00,51.05,51.54,50.96,51.08,1520876.0
2024-07-18 04:00:00,51.24,51.24,50.28,50.66,1777317.0
2024-07-19 04:00:00,51.0,51.0,49.25,50.0,3243159.0
2024-07-22 04:00:00,49.89,50.39,49.12,49.52,5811755.0
2024-07-23 04:00:00,50.39,50.39,48.75,49.36,2311007.0
2024-07-24 04:00:00,49.5,50.42,49.35,50.12,1153157.0
2024-07-25 04:00:00,49.8,50.12,49.65,49.77,919622.0
2024-07-26 04:00:00,49.78,50.2,49.51,50.0,1012743.0
2024-07-29 04:00:00,50.1,50.76,49.4,49.76,2500655.0
2024-07-30 04:00:00,49.76,50.16,49.52,49.83,1316538.0
2024-07-31 04:00:00,49.83,50.65,49.8,50.38,1844864.0
2024-08-01 04:00:00,51.0,51.1,50.29,50.5,1382302.0
2024-08-02 04:00:00,50.39,50.39,49.51,50.02,1504200.0
2024-08-05 04:00:00,50.0,50.02,48.15,48.71,3204371.0
2024-08-06 04:00:00,48.72,49.6,47.75,47.91,1788881.0
2024-08-07 04:00:00,48.69,49.15,48.26,48.99,995417.0
2024-08-08 04:00:00,49.0,49.36,48.64,48.73,809922.0
2024-08-09 04:00:00,49.58,49.64,48.6,48.67,976490.0
2024-08-12 04:00:00,48.67,48.85,48.0,48.1,1266190.0
2024-08-13 04:00:00,48.25,48.65,48.17,48.33,867533.0
2024-08-14 04:00:00,48.67,48.69,48.0,48.06,858928.0
