entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2024-02-29,2024-03-28,2024-03-28,21982.8,23100,20900,23600,20400,47.89,40.89,18.69,21.27,0.0,0.0,0.0,0.0,48.82,0.0,48.82,50,1,2441.0,451.1825,22559.125,72802.0,36.4,EXPIRY,2024-02,2024,8072.0,208072.0,4.036,208072.0,0.0
2024-03-28,2024-04-25,2024-04-25,22326.9,23450,21200,23950,20700,28.75,27.05,12.19,14.14,0.0,0.0,0.0,0.0,29.46,0.0,29.46,50,1,1473.0,470.537,23526.85,74588.5,37.29,EXPIRY,2024-03,2024,9545.0,209545.0,4.7725,209545.0,0.0
2024-04-25,2024-05-30,2024-05-30,22570.3,23700,21450,24200,20950,29.07,46.64,16.5,27.89,0.0,0.0,0.0,0.0,31.33,0.0,31.33,50,1,1566.5,468.674,23433.699999999997,74535.5,37.27,EXPIRY,2024-04,2024,11111.5,211111.5,5.5558,211111.5,0.0
2024-06-06,2024-06-27,2024-06-27,22821.4,23950,21700,24450,21200,40.07,59.43,22.48,41.17,94.5,0.0,0.0,0.0,35.85,105.37,-69.52,50,1,-3476.0,464.1545,23207.725,74422.5,37.21,EXPIRY,2024-06,2024,7635.5,207635.5,3.8178,211111.5,-1.6465
2024-07-04,2024-07-25,2024-07-25,24302.2,25500,23100,26000,22600,11.55,24.98,7.42,17.13,0.0,0.0,0.0,0.0,11.97,0.0,11.97,50,1,598.5,488.0285,24401.425,81392.5,40.7,EXPIRY,2024-07,2024,8234.0,208234.0,4.117,211111.5,-1.363
2024-08-08,2024-08-29,2024-08-29,24117.0,25300,22900,25800,22400,20.01,61.23,8.74,40.37,0.0,0.0,0.0,0.0,32.13,0.0,32.13,50,1,1606.5000000000002,467.869,23393.45,79484.5,39.74,EXPIRY,2024-08,2024,9840.5,209840.5,4.9202,211111.5,-0.6021
2024-09-05,2024-09-26,2024-09-26,25145.1,26400,23900,26900,23400,10.07,37.44,6.21,27.48,0.0,0.0,0.0,0.0,13.82,0.0,13.82,50,1,691.0,486.177,24308.850000000002,83825.5,41.91,EXPIRY,2024-09,2024,10531.5,210531.5,5.2658,211111.5,-0.2747
2024-10-03,2024-10-31,2024-10-31,25250.1,26500,24000,27000,23500,34.04,39.56,13.91,28.35,0.0,0.0,0.0,0.0,31.34,0.0,31.34,75,1,2350.5,468.6625,35149.6875,125605.5,62.8,EXPIRY,2024-10,2024,12882.0,212882.0,6.441,212882.0,0.0
2024-10-31,2024-11-28,2024-11-28,24205.3,25400,23000,25900,22500,56.76,62.42,24.72,39.79,0.0,0.0,0.0,0.0,54.67,0.0,54.67,75,1,4100.25,445.329,33399.675,118581.75,59.29,EXPIRY,2024-10,2024,16982.25,216982.25,8.4911,216982.25,0.0
2024-11-28,2024-12-26,2024-12-26,23914.2,25100,22700,25600,22200,49.31,45.49,18.69,28.35,0.0,0.0,0.0,0.0,47.77,0.0,47.77,75,1,3582.7500000000005,452.229,33917.174999999996,118362.0,59.18,EXPIRY,2024-11,2024,20565.0,220565.0,10.2825,220565.0,0.0
