entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct
2024-04-01,2024-04-30,2024-04-30,21198.4,21600,20750,21750,20600,390.24,400.23,155.86,265.66,241.15,0.0,91.15,0.0,368.95,153.0,215.95,40,5,43190.6,-218.95299999999997,-43790.59999999999,EXPIRY,2024-04,2024,462129.99999999994,662130.0,231.065,662130.0,0.0
2024-05-06,2024-05-28,2024-05-28,21743.7,22200,21300,22350,21150,302.48,934.38,263.93,134.59,0.0,0.0,0.0,0.0,838.34,0.0,838.34,40,5,167668.8,-688.3439999999999,-137668.8,EXPIRY,2024-05,2024,629798.7999999999,829798.7999999999,314.89939999999996,829798.7999999999,0.0
2024-06-10,2024-06-25,2024-06-25,22154.8,22600,21700,22750,21550,239.17,1325.84,187.88,206.14,910.65,0.0,760.65,0.0,1170.99,153.0,1017.99,40,5,203597.0,-1020.9850000000001,-204197.00000000006,EXPIRY,2024-06,2024,833395.7999999999,1033395.7999999999,416.69789999999995,1033395.7999999999,0.0
2024-07-08,2024-07-30,2024-07-30,23586.8,24050,23100,24200,22950,576.04,196.0,187.22,328.95,0.0,0.0,0.0,0.0,255.87,0.0,255.87,40,5,51174.6,-105.87299999999993,-21174.599999999988,EXPIRY,2024-07,2024,884570.3999999999,1084570.4,442.2852,1084570.4,0.0
2024-08-05,2024-08-27,2024-08-27,22762.7,23200,22300,23350,22150,628.77,710.6,609.86,113.22,378.8,0.0,228.8,0.0,616.29,153.0,463.29,40,5,92657.6,-466.288,-93257.6,EXPIRY,2024-08,2024,977227.9999999999,1177228.0,488.6139999999999,1177228.0,0.0
2024-09-02,2024-09-24,2024-09-24,23727.5,24200,23250,24350,23100,876.27,331.88,292.43,645.76,683.65,0.0,533.65,0.0,269.95,153.0,116.95,40,5,23389.6,-119.94799999999975,-23989.59999999995,EXPIRY,2024-09,2024,1000617.5999999999,1200617.5999999999,500.3087999999999,1200617.5999999999,0.0
2024-09-30,2024-10-29,2024-10-29,24480.3,24950,24000,25100,23850,646.8,193.89,285.24,191.3,0.0,0.0,0.0,0.0,364.15,0.0,364.15,65,5,118348.42,-214.149,-69598.42499999999,EXPIRY,2024-09,2024,1118966.0199999998,1318966.0199999998,559.4830099999999,1318966.0199999998,0.0
2024-11-04,2024-11-13,2024-11-26,23660.2,24150,23200,24300,23050,709.81,600.2,861.54,94.86,724.3,612.45,87.8,99.3,353.61,1172.64,-819.03,65,5,-266185.08,-203.61199999999985,-66173.89999999995,SL,2024-11,2024,852780.9399999997,1052780.9399999997,426.3904699999999,1318966.0199999998,-20.18134477793447
2024-12-02,2024-12-31,2024-12-31,24072.7,24550,23600,24700,23450,245.98,190.46,203.95,165.14,0.0,87.2,0.0,0.0,67.36,88.94,-21.59,65,5,-7016.1,82.644,26859.300000000003,EXPIRY,2024-12,2024,845764.8399999997,1045764.8399999997,422.8824199999998,1318966.0199999998,-20.71328418301482
2025-01-06,2025-01-28,2025-01-28,23317.8,23800,22850,23950,22700,267.0,203.64,224.71,171.62,0.0,44.1,0.0,0.0,74.32,44.98,29.34,65,5,9536.15,75.67600000000004,24594.700000000015,EXPIRY,2025-01,2025,855300.9899999998,1055300.9899999998,427.65049499999986,1318966.0199999998,-19.990282236383926
