symbol,start_date,end_date
SBILIFE,2019-02-02,2099-12-31
SBIN,2010-01-01,2099-12-31
SHREECEM,2010-01-01,2099-12-31
SHRIRAMFIN,2023-08-03,2099-12-31
SIEMENS,2010-01-01,2099-12-31
SJVN,2024-03-28,2025-09-30
SOLARINDS,2026-05-29,2099-12-31
SONACOMS,2023-08-03,2026-05-29
SPARC,2010-01-01,2023-08-03
SRF,2010-01-01,2099-12-31
SRTRANSFIN,2010-01-01,2023-08-03
STAR,2010-01-01,2018-03-15
STRTECH,2019-02-02,2023-08-03
SUNPHARMA,2010-01-01,2099-12-31
SUNTV,2010-01-01,2026-05-29
SUPREMEIND,2024-03-28,2099-12-31
SUZLON,2010-01-01,2019-02-02
SUZLON,2024-03-28,2099-12-31
SWIGGY,2025-03-31,2099-12-31
SYNDIBANK,2010-01-01,2019-02-02
SYNGENE,2010-01-01,2026-05-29
TATACAP,2026-05-29,2099-12-31
TATACHEM,2010-01-01,2025-03-31
TATACOMM,2010-01-01,2019-02-02
TATACOMM,2023-08-03,2099-12-31
TATACONSUM,2023-08-03,2099-12-31
TATAELXSI,2021-03-31,2099-12-31
TATAGLOBAL,2010-01-01,2023-08-03
TATAINVEST,2026-05-29,2099-12-31
TATAMOTORS,2010-01-01,2026-05-29
TATAMTRDVR,2010-01-01,2023-08-03
TATAPOWER,2010-01-01,2099-12-31
TATASTEEL,2010-01-01,2099-12-31
TATATECH,2024-03-28,2099-12-31
TCS,2010-01-01,2099-12-31
TECHM,2010-01-01,2099-12-31
TIINDIA,2023-08-03,2099-12-31
TITAN,2010-01-01,2099-12-31
TMCV,2026-05-29,2099-12-31
TMPV,2026-05-29,2099-12-31
TORNTPHARM,2010-01-01,2099-12-31
TORNTPOWER,2010-01-01,2026-05-29
TRENT,2023-08-03,2099-12-31
TRIDENT,2022-03-31,2099-12-31
TTML,2023-08-03,2026-05-29
TV18BRDCST,2010-01-01,2023-08-03
TVSMOTOR,2010-01-01,2099-12-31
UBL,2010-01-01,2024-03-28
ULTRACEMCO,2010-01-01,2099-12-31
UNIONBANK,2010-01-01,2099-12-31
UNITDSPR,2026-05-29,2099-12-31
UPL,2010-01-01,2099-12-31
VAKRANGEE,2010-01-01,2023-08-03
VARROC,2019-02-02,2023-08-03
VBL,2023-08-03,2099-12-31
VEDL,2010-01-01,2099-12-31
VGUARD,2018-03-15,2023-08-03
VMM,2025-03-31,2099-12-31
VOLTAS,2010-01-01,2099-12-31
WAAREEENER,2025-03-31,2099-12-31
WELSPUNIND,2010-01-01,2019-02-02
WHIRLPOOL,2023-08-03,2026-05-29
WIPRO,2010-01-01,2099-12-31
WOCKPHARMA,2010-01-01,2019-02-02
YESBANK,2010-01-01,2099-12-31
ZEEL,2010-01-01,2026-05-29
ZOMATO,2022-03-31,2099-12-31
ZYDUSLIFE,2023-08-03,2099-12-31
