index_name,review_date,period,symbol,close,mcap_cr,weight
NIFTY_200,2021-03-31,Mar2021,BANKINDIA,67.85,2446.0,0.03
NIFTY_200,2021-03-31,Mar2021,BATAINDIA,1406.2,8495.0,0.1
NIFTY_200,2021-03-31,Mar2021,BERGEPAINT,765.0,18576.0,0.22
NIFTY_200,2021-03-31,Mar2021,BEL,125.1,14936.0,0.18
NIFTY_200,2021-03-31,Mar2021,BHARATFORG,595.95,14983.0,0.18
NIFTY_200,2021-03-31,Mar2021,BHEL,48.75,6281.0,0.07
NIFTY_200,2021-03-31,Mar2021,BPCL,427.95,39918.0,0.47
NIFTY_200,2021-03-31,Mar2021,BHARTIARTL,517.3,125005.0,1.48
NIFTY_200,2021-03-31,Mar2021,BIOCON,408.9,18155.0,0.22
NIFTY_200,2021-03-31,Mar2021,BBTC,1110.4,2014.0,0.02
NIFTY_200,2021-03-31,Mar2021,BOSCHLTD,14088.4,12050.0,0.14
NIFTY_200,2021-03-31,Mar2021,BRITANNIA,3625.05,42785.0,0.51
NIFTY_200,2021-03-31,Mar2021,CESC,593.55,3934.0,0.05
NIFTY_200,2021-03-31,Mar2021,CADILAHC,440.9,11284.0,0.13
NIFTY_200,2021-03-31,Mar2021,CANBK,152.2,7770.0,0.09
NIFTY_200,2021-03-31,Mar2021,CASTROLIND,125.3,6073.0,0.07
NIFTY_200,2021-03-31,Mar2021,CHOLAFIN,558.8,21995.0,0.26
NIFTY_200,2021-03-31,Mar2021,CIPLA,815.1,41413.0,0.49
NIFTY_200,2021-03-31,Mar2021,CUB,155.95,11522.0,0.14
NIFTY_200,2021-03-31,Mar2021,COALINDIA,130.35,27313.0,0.32
NIFTY_200,2021-03-31,Mar2021,COFORGE,2926.95,6207.0,0.07
NIFTY_200,2021-03-31,Mar2021,COLPAL,1559.35,20782.0,0.25
NIFTY_200,2021-03-31,Mar2021,CONCOR,598.0,16396.0,0.19
NIFTY_200,2021-03-31,Mar2021,COROMANDEL,774.55,9317.0,0.11
NIFTY_200,2021-03-31,Mar2021,CROMPTON,392.5,20445.0,0.24
NIFTY_200,2021-03-31,Mar2021,CUMMINSIND,919.65,12491.0,0.15
NIFTY_200,2021-03-31,Mar2021,DLF,287.05,17763.0,0.21
NIFTY_200,2021-03-31,Mar2021,DABUR,540.5,30569.0,0.36
NIFTY_200,2021-03-31,Mar2021,DALBHARAT,1589.0,13060.0,0.16
NIFTY_200,2021-03-31,Mar2021,DEEPAKNTR,1656.5,12200.0,0.14
NIFTY_200,2021-03-31,Mar2021,DHANI,168.1,4165.0,0.05
NIFTY_200,2021-03-31,Mar2021,DIVISLAB,3622.8,46163.0,0.55
NIFTY_200,2021-03-31,Mar2021,DIXON,3672.15,13120.0,0.16
NIFTY_200,2021-03-31,Mar2021,LALPATHLAB,2707.05,8574.0,0.1
NIFTY_200,2021-03-31,Mar2021,DRREDDY,4516.0,54824.0,0.65
NIFTY_200,2021-03-31,Mar2021,EICHERMOT,2603.95,36299.0,0.43
NIFTY_200,2021-03-31,Mar2021,EMAMILTD,486.0,9938.0,0.12
NIFTY_200,2021-03-31,Mar2021,ENDURANCE,1456.15,5121.0,0.06
NIFTY_200,2021-03-31,Mar2021,ESCORTS,1287.8,9029.0,0.11
NIFTY_200,2021-03-31,Mar2021,EXIDEIND,183.6,8427.0,0.1
NIFTY_200,2021-03-31,Mar2021,FEDERALBNK,75.8,15137.0,0.18
NIFTY_200,2021-03-31,Mar2021,FORTIS,199.15,10374.0,0.12
NIFTY_200,2021-03-31,Mar2021,GAIL,135.5,24445.0,0.29
NIFTY_200,2021-03-31,Mar2021,GMRINFRA,24.3,5280.0,0.06
NIFTY_200,2021-03-31,Mar2021,GLENMARK,464.7,6950.0,0.08
NIFTY_200,2021-03-31,Mar2021,GODREJAGRO,523.8,1610.0,0.02
NIFTY_200,2021-03-31,Mar2021,GODREJCP,729.65,27604.0,0.33
NIFTY_200,2021-03-31,Mar2021,GODREJIND,545.75,3673.0,0.04
NIFTY_200,2021-03-31,Mar2021,GODREJPROP,1406.75,16422.0,0.2
NIFTY_200,2021-03-31,Mar2021,GRASIM,1450.55,55355.0,0.66
NIFTY_200,2021-03-31,Mar2021,GUJGASLTD,549.45,9456.0,0.11
NIFTY_200,2021-03-31,Mar2021,GSPL,273.35,7711.0,0.09
NIFTY_200,2021-03-31,Mar2021,HCLTECH,982.65,106663.0,1.27
NIFTY_200,2021-03-31,Mar2021,HDFCAMC,2919.0,15540.0,0.18
NIFTY_200,2021-03-31,Mar2021,HDFCBANK,1493.65,650499.0,7.72
NIFTY_200,2021-03-31,Mar2021,HDFCLIFE,696.2,57686.0,0.69
NIFTY_200,2021-03-31,Mar2021,HAVELLS,1050.4,26303.0,0.31
NIFTY_200,2021-03-31,Mar2021,HEROMOTOCO,2913.6,37835.0,0.45
NIFTY_200,2021-03-31,Mar2021,HINDALCO,326.85,47731.0,0.57
NIFTY_200,2021-03-31,Mar2021,HAL,994.95,8317.0,0.1
NIFTY_200,2021-03-31,Mar2021,HINDPETRO,234.5,16529.0,0.2
NIFTY_200,2021-03-31,Mar2021,HINDUNILVR,2431.5,217093.0,2.58
NIFTY_200,2021-03-31,Mar2021,HINDZINC,272.9,6919.0,0.08
NIFTY_200,2021-03-31,Mar2021,HDFC,2498.1,449960.0,5.34
NIFTY_200,2021-03-31,Mar2021,ICICIBANK,582.1,402549.0,4.78
NIFTY_200,2021-03-31,Mar2021,ICICIGI,1433.2,31273.0,0.37
NIFTY_200,2021-03-31,Mar2021,ICICIPRULI,445.6,17276.0,0.21
NIFTY_200,2021-03-31,Mar2021,ISEC,382.8,3084.0,0.04
NIFTY_200,2021-03-31,Mar2021,IDFCFIRSTB,55.7,11697.0,0.14
NIFTY_200,2021-03-31,Mar2021,ITC,218.5,190938.0,2.27
NIFTY_200,2021-03-31,Mar2021,IBULHSGFIN,196.5,6814.0,0.08
NIFTY_200,2021-03-31,Mar2021,INDIAMART,7737.95,11748.0,0.14
NIFTY_200,2021-03-31,Mar2021,INDHOTEL,110.85,7764.0,0.09
NIFTY_200,2021-03-31,Mar2021,IOC,91.85,23347.0,0.28
NIFTY_200,2021-03-31,Mar2021,IRCTC,1757.0,9277.0,0.11
NIFTY_200,2021-03-31,Mar2021,IGL,512.35,17932.0,0.21
NIFTY_200,2021-03-31,Mar2021,INDUSTOWER,245.0,19808.0,0.24
NIFTY_200,2021-03-31,Mar2021,INDUSINDBK,954.45,53869.0,0.64
NIFTY_200,2021-03-31,Mar2021,NAUKRI,4280.55,33076.0,0.39
NIFTY_200,2021-03-31,Mar2021,INFY,1368.05,507013.0,6.02
NIFTY_200,2021-03-31,Mar2021,INDIGO,1631.95,15702.0,0.19
NIFTY_200,2021-03-31,Mar2021,IPCALAB,1903.75,13041.0,0.15
NIFTY_200,2021-03-31,Mar2021,JSWENERGY,87.85,3608.0,0.04
NIFTY_200,2021-03-31,Mar2021,JSWSTEEL,468.45,45294.0,0.54
NIFTY_200,2021-03-31,Mar2021,JINDALSTEL,343.6,14019.0,0.17
NIFTY_200,2021-03-31,Mar2021,JUBLFOOD,2910.95,22281.0,0.26
NIFTY_200,2021-03-31,Mar2021,KOTAKBANK,1753.0,257060.0,3.05
NIFTY_200,2021-03-31,Mar2021,L&TFH,95.85,7574.0,0.09
NIFTY_200,2021-03-31,Mar2021,LTTS,2653.9,7248.0,0.09
NIFTY_200,2021-03-31,Mar2021,LICHSGFIN,428.2,12966.0,0.15
NIFTY_200,2021-03-31,Mar2021,LTI,4054.3,18415.0,0.22
NIFTY_200,2021-03-31,Mar2021,LT,1418.9,171377.0,2.04
NIFTY_200,2021-03-31,Mar2021,LAURUSLABS,362.0,13792.0,0.16
NIFTY_200,2021-03-31,Mar2021,LUPIN,1020.45,24535.0,0.29
NIFTY_200,2021-03-31,Mar2021,MRF,82259.45,17095.0,0.2
NIFTY_200,2021-03-31,Mar2021,MGL,1168.95,6697.0,0.08
NIFTY_200,2021-03-31,Mar2021,M&MFIN,198.95,11799.0,0.14
NIFTY_200,2021-03-31,Mar2021,M&M,795.25,76126.0,0.9
NIFTY_200,2021-03-31,Mar2021,MANAPPURAM,149.2,8082.0,0.1
NIFTY_200,2021-03-31,Mar2021,MARICO,411.3,21245.0,0.25
NIFTY_200,2021-03-31,Mar2021,MARUTI,6859.2,91169.0,1.08
NIFTY_200,2021-03-31,Mar2021,MFSL,859.45,18092.0,0.21
NIFTY_200,2021-03-31,Mar2021,MINDTREE,2083.9,13044.0,0.15
NIFTY_200,2021-03-31,Mar2021,MOTHERSUMI,201.45,24174.0,0.29
NIFTY_200,2021-03-31,Mar2021,MPHASIS,1776.5,14620.0,0.17
NIFTY_200,2021-03-31,Mar2021,MUTHOOTFIN,1205.9,13062.0,0.16
NIFTY_200,2021-03-31,Mar2021,NATCOPHARM,825.55,7677.0,0.09
NIFTY_200,2021-03-31,Mar2021,NMDC,135.35,12693.0,0.15
NIFTY_200,2021-03-31,Mar2021,NTPC,106.55,50626.0,0.6
