symbol,cycle,trend,stage,date,time,price,ema_200,ema_400,note
AADHARHFC.NS,1,SELL,ALERT2,2025-02-07,09:15:00,409.15,401.16,411.16,EMA200 retest candle locked
AADHARHFC.NS,1,SELL,ENTRY1,2025-02-10,09:15:00,392.55,401.32,410.9,Sell entry 1 (retest1 break)
AADHARHFC.NS,1,SELL,ALERT3,2025-03-06,10:15:00,397.65,387.82,397.99,EMA400 retest candle locked
AADHARHFC.NS,1,SELL,EXIT,2025-03-06,13:15:00,398.25,388.09,397.97,Close above EMA400
AADHARHFC.NS,2,BUY,CROSSOVER,2025-03-20,11:15:00,422.45,405.19,405.12,EMA200 above EMA400
AADHARHFC.NS,2,BUY,ALERT1,2025-03-20,13:15:00,428.3,405.61,405.33,Break + close above crossover candle high
AADHARHFC.NS,2,BUY,ALERT2,2025-03-25,09:15:00,407.1,408.11,406.68,EMA200 retest candle locked
AADHARHFC.NS,2,BUY,ENTRY1,2025-03-27,10:15:00,418.4,407.7,406.56,Buy entry 1 (retest1 break)
AADHARHFC.NS,2,BUY,ALERT3,2025-04-07,09:15:00,422.05,417.31,411.95,EMA400 retest candle locked
AADHARHFC.NS,2,BUY,ENTRY2,2025-04-07,10:15:00,427.45,417.41,412.03,Buy entry 2 (retest2 break)
AADHARHFC.NS,2,BUY,ALERT3,2025-05-09,09:15:00,442.05,454.12,439.31,EMA400 retest candle locked
AADHARHFC.NS,2,BUY,ENTRY2,2025-05-12,09:15:00,451.1,453.41,439.46,Buy entry 2 (retest2 break)
AADHARHFC.NS,2,BUY,ALERT3,2025-05-12,13:15:00,440.0,453.0,439.53,EMA400 retest candle locked
AADHARHFC.NS,2,BUY,ENTRY2,2025-05-13,09:15:00,453.9,452.79,439.62,Buy entry 2 (retest2 break)
AADHARHFC.NS,2,BUY,ALERT3,2025-05-20,11:15:00,442.95,452.4,441.66,EMA400 retest candle locked
AADHARHFC.NS,2,BUY,EXIT,2025-05-20,12:15:00,441.6,452.29,441.66,Close below EMA400
AADHARHFC.NS,3,SELL,CROSSOVER,2025-11-17,12:15:00,497.0,505.99,506.03,EMA200 below EMA400
AADHARHFC.NS,3,SELL,ALERT1,2025-11-19,09:15:00,491.75,504.84,505.44,Break + close below crossover candle low
AADHARHFC.NS,3,SELL,ALERT2,2025-12-15,09:15:00,492.95,490.61,495.87,EMA200 retest candle locked
AADHARHFC.NS,3,SELL,ENTRY1,2025-12-17,09:15:00,483.75,490.87,495.65,Sell entry 1 (retest1 break)
AADHARHFC.NS,3,SELL,EXIT,2026-01-02,09:15:00,499.8,486.63,491.59,Close above EMA400
AADHARHFC.NS,4,BUY,CROSSOVER,2026-04-22,09:15:00,494.4,471.2,471.13,EMA200 above EMA400
AARTIIND.NS,1,SELL,CROSSOVER,2024-08-21,14:15:00,621.7,683.06,683.12,EMA200 below EMA400
AARTIIND.NS,1,SELL,ALERT1,2024-08-23,13:15:00,618.7,675.64,679.29,Break + close below crossover candle low
AARTIIND.NS,1,SELL,ALERT2,2025-01-10,12:15:00,425.8,425.31,455.98,EMA200 retest candle locked
AARTIIND.NS,1,SELL,ENTRY1,2025-01-14,12:15:00,405.3,424.27,453.38,Sell entry 1 (retest1 break)
AARTIIND.NS,1,SELL,EXIT,2025-01-21,09:15:00,453.7,427.67,450.84,Close above EMA400
AARTIIND.NS,2,BUY,CROSSOVER,2025-05-07,09:15:00,440.85,414.91,414.8,EMA200 above EMA400
AARTIIND.NS,2,BUY,ALERT1,2025-05-07,10:15:00,448.2,415.24,414.96,Break + close above crossover candle high
AARTIIND.NS,2,BUY,ALERT2,2025-06-13,10:15:00,464.65,466.01,450.95,EMA200 retest candle locked
AARTIIND.NS,2,BUY,ENTRY1,2025-06-25,09:15:00,468.0,459.78,451.09,Buy entry 1 (retest1 break)
AARTIIND.NS,2,BUY,EXIT,2025-07-08,10:15:00,456.55,467.69,458.07,Close below EMA400
AARTIIND.NS,3,SELL,CROSSOVER,2025-07-24,15:15:00,433.35,452.93,452.95,EMA200 below EMA400
