trade_num,entry_date,entry_time,exit_date,exit_time,symbol,qty,entry_price,exit_price,pnl_inr,pnl_pct,holding_bars,reason,cash_before,cash_after
35,2025-12-02,09:45,2026-01-12,09:15,CIPLA,86,1520.6,1444.76,-6522.2399999999925,-4.987504932263575,70,PARTIAL,3333.1899999998277,127582.54999999983
36,2026-01-08,11:00,2026-01-12,11:15,BRITANNIA,141,6002.0,5920.0,-11562.0,-1.3662112629123626,8,STOP,127582.54999999983,962302.5499999998
37,2025-12-02,09:45,2026-01-16,09:15,CIPLA,87,1520.6,1368.72,-13213.55999999999,-9.988162567407596,85,TARGET,2931.1499999997905,122009.78999999979
38,2026-01-12,12:15,2026-01-19,10:15,TCS,299,3208.6,3169.3,-11750.699999999919,-1.2248332606120964,14,STOP,86.78999999978987,947707.4899999999
39,2026-01-16,10:00,2026-01-19,10:15,TCS,38,3208.5,3169.3,-1489.599999999993,-1.2217547140408234,2,STOP,947707.4899999999,1068140.89
40,2026-01-19,10:45,2026-01-19,15:15,ASIANPAINT,192,2778.5,2736.8,-8006.399999999965,-1.5008097894547352,3,STOP,766.3899999998976,526231.99
41,2026-01-19,11:45,2026-01-21,09:15,ICICIBANK,389,1372.5,1348.6,-9297.100000000035,-1.741347905282338,3,STOP,526231.99,1050837.39
42,2026-01-27,09:45,2026-01-29,10:15,SBILIFE,258,2030.0,1999.9,-7765.7999999999765,-1.4827586206896508,12,STOP,398.1899999998277,516372.38999999984
43,2026-01-30,09:15,2026-02-03,09:15,ICICIBANK,375,1375.1,1390.1,5625.0,1.090829757835794,7,STOP,709.8899999998976,521997.38999999984
44,2026-02-04,09:15,2026-02-11,11:15,DIVISLAB,85,6138.0,6286.5,12622.5,2.4193548387096775,21,STOP,267.38999999983935,534619.8899999999
45,2026-02-11,12:15,2026-02-17,11:15,BHARTIARTL,265,2016.1,2034.8,4955.500000000012,0.9275333564803355,9,STOP,353.38999999989755,539575.3899999999
46,2026-01-27,11:15,2026-03-12,09:15,INDUSINDBK,591,891.2,837.45,-31766.25,-6.031193895870736,102,STOP,32.889999999897555,494965.8399999999
47,2026-02-18,14:45,2026-03-12,10:15,COALINDIA,1290,418.25,460.79,54876.60000000003,10.170950388523616,50,TARGET,21.339999999909196,594440.44
48,2026-03-12,13:30,2026-03-13,09:15,TATASTEEL,3065,193.92,185.67,-25286.25,-4.254331683168317,4,STOP,75.64000000001397,569154.19
49,2026-03-12,09:15,2026-03-16,10:15,ONGC,1823,271.5,262.2,-16953.90000000002,-3.4254143646408877,8,STOP,569154.19,1047144.7899999999
50,2026-03-17,10:00,2026-03-19,09:15,APOLLOHOSP,69,7542.0,7357.0,-12765.0,-2.4529302572262,5,STOP,3420.289999999921,511053.2899999999
51,2026-03-19,10:30,2026-03-23,09:15,BEL,1165,438.6,410.2,-33086.00000000004,-6.475148198814416,3,STOP,84.28999999992084,477967.2899999999
52,2026-03-24,09:15,2026-04-01,13:15,SUNPHARMA,269,1775.5,1721.5,-14526.0,-3.041396789636722,3,STOP,357.78999999992084,463441.2899999999
53,2026-03-16,11:15,2026-04-02,09:15,POWERGRID,1777,294.5,286.6,-14038.29999999996,-2.682512733446512,16,STOP,463441.2899999999,972729.49
54,2026-04-08,10:15,2026-04-10,09:15,ASIANPAINT,214,2264.6,2364.6,21400.0,4.415790868144485,21,STOP,1791.2900000000373,507815.69
55,2026-04-10,09:15,2026-04-15,09:15,TECHM,352,1440.8,1462.1,7497.599999999984,1.4783453636868376,11,STOP,654.0900000000256,515313.29
56,2026-04-15,13:15,2026-04-16,09:15,BAJFINANCE,564,912.5,931.2,10546.800000000025,2.0493150684931556,4,STOP,663.289999999979,525860.0900000001
57,2026-04-08,09:15,2026-04-22,14:15,NTPC,1301,373.8,407.0,43193.19999999998,8.881754949170677,50,TARGET,90.23000000009779,529597.2300000001
58,2026-04-16,10:15,2026-04-24,09:15,WIPRO,1256,209.22,198.76,-13137.76000000001,-4.999522034222354,13,PARTIAL,3127.230000000098,252769.7900000001
59,2026-04-16,10:15,2026-04-27,09:15,WIPRO,1257,209.22,203.61,-7051.769999999981,-2.6813880126182896,17,STOP,252769.7900000001,508707.5600000001
60,2026-04-22,15:00,2026-05-04,10:15,BRITANNIA,92,5722.5,5818.0,8786.0,1.6688510266491918,15,STOP,3807.560000000114,539063.56
61,2026-04-27,13:00,2026-05-04,10:15,BRITANNIA,88,5737.5,5818.0,7084.0,1.4030501089324618,6,STOP,539063.56,1051047.56
