entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,margin_required_inr,margin_pct_of_capital,peak,drawdown_pct
2024-04-08,2024-04-30,2024-04-30,21604.5,22450,20750,22750,20450,75.24,404.32,30.8,284.97,0.0,0.0,0.0,0.0,163.78,0.0,163.78,40,1,6551.2,136.22050000000002,5448.82,EXPIRY,2024-04,2024,85485.6,285485.6,42.7428,46121.2,23.1,286287.6,-0.2801
2024-05-06,2024-05-28,2024-05-28,21743.7,22600,20850,22900,20550,220.47,75.44,174.07,41.31,0.0,0.0,0.0,0.0,80.53,0.0,80.53,40,1,3221.2,219.4715,8778.86,EXPIRY,2024-05,2024,88706.8,288706.8,44.3534,50476.8,25.2,288706.8,0.0
2024-06-10,2024-06-25,2024-06-25,22154.8,23050,21250,23350,20950,115.83,122.96,43.43,72.11,460.65,0.0,160.65,0.0,123.24,303.0,-179.76,40,1,-7190.4,176.756,7070.24,EXPIRY,2024-06,2024,81516.4,281516.4,40.7582,55626.4,27.8,288706.8,-2.4906
2024-07-01,2024-07-30,2024-07-30,23631.0,24600,22700,24900,22400,295.07,1017.23,99.23,865.22,0.0,0.0,0.0,0.0,347.85,0.0,347.85,40,1,13914.0,-47.845500000000015,-1913.82,EXPIRY,2024-07,2024,95430.4,295430.4,47.7152,25750.0,12.9,295430.4,0.0
2024-08-12,2024-08-27,2024-08-27,23028.5,23950,22100,24250,21800,334.57,624.69,247.1,509.85,0.0,0.0,0.0,0.0,202.32,0.0,202.32,40,1,8092.8,97.6840000000002,3907.36,EXPIRY,2024-08,2024,103523.2,303523.2,51.7616,32350.0,16.2,303523.2,0.0
2024-09-02,2024-09-24,2024-09-24,23727.5,24700,22800,25000,22500,689.78,519.65,85.85,434.2,183.65,0.0,0.0,0.0,689.38,185.49,503.9,40,1,20156.0,-389.3845000000001,-15575.38,EXPIRY,2024-09,2024,123679.2,323679.2,61.8396,43798.0,21.9,323679.2,0.0
2024-09-30,2024-10-29,2024-10-29,24480.3,25450,23500,25750,23200,447.93,111.28,350.12,77.06,0.0,0.0,0.0,0.0,132.02,0.0,132.02,65,1,8581.3,167.97799999999995,10918.57,EXPIRY,2024-09,2024,132260.5,332260.5,66.1302,80412.8,40.2,332260.5,0.0
2024-11-04,2024-11-26,2024-11-26,23660.2,24600,22700,24900,22400,716.56,98.95,173.92,359.51,0.0,0.0,0.0,0.0,282.08,0.0,282.08,65,1,18335.2,17.919000000000096,1164.74,EXPIRY,2024-11,2024,150595.7,350595.7,75.2979,69860.05,34.9,350595.7,0.0
2024-12-02,2024-12-31,2024-12-31,24072.7,25050,23100,25350,22800,106.42,102.91,61.31,70.09,0.0,0.0,0.0,0.0,77.93,0.0,77.93,65,1,5065.45,222.0655,14434.26,EXPIRY,2024-12,2024,155661.15,355661.15,77.8306,97870.5,48.9,355661.15,0.0
2025-01-06,2025-01-28,2025-01-28,23317.8,24250,22400,24550,22100,139.94,104.54,86.76,65.14,0.0,0.0,0.0,0.0,92.58,0.0,92.58,65,1,6017.7,207.4235,13482.53,EXPIRY,2025-01,2025,161678.85,361678.85,80.8394,93223.0,46.6,361678.85,0.0
