entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,exit_reason,month,year,running_pnl,equity,roi_pct,peak,drawdown_pct,margin_required_inr,margin_pct_of_capital
2024-03-11,2024-03-12,2024-03-26,20862.5,21300,20450,21450,20300,173.46,142.34,154.17,155.04,115.0,145.25,82.35,56.5,6.59,123.83,-117.24,40,1,-4689.6,143.40799999999996,5736.32,SL,2024-03,2024,83788.0,283788.0,41.894,288477.6,-1.6256,44411.6,22.2
2024-04-01,2024-04-30,2024-04-30,21198.4,21600,20750,21750,20600,390.24,400.23,155.86,265.66,241.15,0.0,91.15,0.0,368.95,153.0,215.95,40,1,8638.0,-218.953,-8758.12,EXPIRY,2024-04,2024,92426.0,292426.0,46.213,292426.0,0.0,40735.2,20.4
2024-05-06,2024-05-28,2024-05-28,21743.7,22200,21300,22350,21150,302.48,934.38,263.93,134.59,0.0,0.0,0.0,0.0,838.34,0.0,838.34,40,1,33533.6,-688.3439999999999,-27533.76,EXPIRY,2024-05,2024,125959.6,325959.6,62.9798,325959.6,0.0,43219.2,21.6
2024-06-10,2024-06-25,2024-06-25,22154.8,22600,21700,22750,21550,239.17,1325.84,187.88,206.14,910.65,0.0,760.65,0.0,1170.99,153.0,1017.99,40,1,40719.6,-1020.985,-40839.4,EXPIRY,2024-06,2024,166679.2,366679.2,83.3396,366679.2,0.0,44487.2,22.2
2024-07-08,2024-07-30,2024-07-30,23586.8,24050,23100,24200,22950,576.04,196.0,187.22,328.95,0.0,0.0,0.0,0.0,255.87,0.0,255.87,40,1,10234.8,-105.87299999999992,-4234.92,EXPIRY,2024-07,2024,176914.0,376914.0,88.457,376914.0,0.0,43477.2,21.7
2024-08-05,2024-08-27,2024-08-27,22762.7,23200,22300,23350,22150,628.77,710.6,609.86,113.22,378.8,0.0,228.8,0.0,616.29,153.0,463.29,40,1,18531.6,-466.288,-18651.52,EXPIRY,2024-08,2024,195445.6,395445.6,97.7228,395445.6,0.0,32956.8,16.5
2024-09-02,2024-09-24,2024-09-24,23727.5,24200,23250,24350,23100,876.27,331.88,292.43,645.76,683.65,0.0,533.65,0.0,269.95,153.0,116.95,40,1,4678.0,-119.94799999999977,-4797.92,EXPIRY,2024-09,2024,200123.6,400123.6,100.0618,400123.6,0.0,27004.4,13.5
2024-09-30,2024-10-29,2024-10-29,24480.3,24950,24000,25100,23850,646.8,193.89,285.24,191.3,0.0,0.0,0.0,0.0,364.15,0.0,364.15,65,1,23669.75,-214.149,-13919.68,EXPIRY,2024-09,2024,223793.35,423793.35,111.8967,423793.35,0.0,77204.4,38.6
2024-11-04,2024-11-13,2024-11-26,23660.2,24150,23200,24300,23050,709.81,600.2,861.54,94.86,724.3,612.45,87.8,99.3,353.61,1172.64,-819.03,65,1,-53236.95,-203.61199999999985,-13234.78,SL,2024-11,2024,170556.4,370556.4,85.2782,423793.35,-12.562,42477.5,21.2
2024-12-02,2024-12-31,2024-12-31,24072.7,24550,23600,24700,23450,245.98,190.46,203.95,165.14,0.0,87.2,0.0,0.0,67.36,88.94,-21.59,65,1,-1403.35,82.644,5371.86,EXPIRY,2024-12,2024,169153.05,369153.05,84.5765,423793.35,-12.8931,82420.65,41.2
2025-01-06,2025-01-28,2025-01-28,23317.8,23800,22850,23950,22700,267.0,203.64,224.71,171.62,0.0,44.1,0.0,0.0,74.32,44.98,29.34,65,1,1907.1,75.67600000000004,4918.94,EXPIRY,2025-01,2025,171060.15,371060.15,85.5301,423793.35,-12.4431,77335.05,38.7
2025-02-03,2025-02-25,2025-02-25,23132.5,23600,22650,23750,22500,244.46,162.83,190.94,148.05,0.0,0.0,0.0,0.0,68.29,0.0,68.29,65,1,4438.85,81.70899999999995,5311.08,EXPIRY,2025-02,2025,175499.0,375499.0,87.7495,423793.35,-11.3957,80178.15,40.1
2025-03-03,2025-03-25,2025-03-25,22953.0,23400,22500,23550,22350,214.77,166.21,187.83,150.55,1686.0,0.0,1536.0,0.0,42.59,153.0,-110.41,65,1,-7176.65,107.40999999999995,6981.65,EXPIRY,2025-03,2025,168322.35,368322.35,84.1612,423793.35,-13.0892,79444.3,39.7
2025-04-07,2025-04-21,2025-04-24,23908.5,24400,23450,24550,23300,582.12,319.63,500.06,309.37,2025.2,3.1,1489.0,3.3,92.33,546.72,-454.39,65,1,-29535.35,57.67400000000009,3748.81,SL,2025-04,2025,138787.0,338787.0,69.3935,423793.35,-20.0584,53135.55,26.6
2025-04-28,2025-05-29,2025-05-29,26291.7,26800,25750,26950,25600,322.57,272.44,277.49,243.88,0.0,0.0,0.0,0.0,73.63,0.0,73.63,65,1,4785.95,76.3660000000001,4963.79,EXPIRY,2025-04,2025,143572.95,343572.95,71.7865,423793.35,-18.9291,82246.45,41.1
2025-06-02,2025-06-26,2025-06-26,26448.4,27000,25900,27150,25750,290.08,215.89,251.63,193.09,248.4,0.0,98.4,0.0,61.25,153.0,-91.75,65,1,-5963.75,88.74600000000004,5768.49,EXPIRY,2025-06,2025,137609.2,337609.2,68.8046,423793.35,-20.3364,88002.2,44.0
2025-06-30,2025-07-31,2025-07-31,27174.5,27700,26650,27850,26500,244.07,343.59,244.8,156.31,0.0,0.05,0.0,0.0,186.54,0.05,186.49,65,1,12121.85,-36.54200000000003,-2375.23,EXPIRY,2025-06,2025,149731.05,349731.05,74.8655,423793.35,-17.476,94041.35,47.0
2025-08-18,2025-08-28,2025-08-28,26609.1,27150,26100,27300,25950,389.75,46.21,35.19,32.18,0.0,459.7,0.0,309.7,368.58,153.0,215.58,65,1,14012.7,-218.582,-14207.83,EXPIRY,2025-08,2025,163743.75,363743.75,81.8719,423793.35,-14.1695,113303.45,56.7
2025-09-22,2025-09-30,2025-09-30,26528.4,27050,26000,27200,25850,158.07,24.84,18.05,25.4,0.0,0.0,0.0,0.0,139.47,0.0,139.47,65,1,9065.55,10.534999999999997,684.77,EXPIRY,2025-09,2025,172809.3,372809.3,86.4046,423793.35,-12.0304,114416.25,57.2
2025-10-13,2025-10-28,2025-10-28,26885.2,27400,26350,27550,26200,827.51,82.86,72.57,63.75,53.95,0.0,0.0,0.0,774.05,55.03,719.02,65,1,46736.3,-624.048,-40563.12,EXPIRY,2025-10,2025,219545.6,419545.6,109.7728,423793.35,-1.0023,109926.7,55.0
2025-11-03,2025-11-25,2025-11-25,27306.2,27850,26750,28000,26600,179.98,206.0,143.11,107.66,0.0,0.0,0.0,0.0,135.21,0.0,135.21,65,1,8788.65,14.794000000000068,961.61,EXPIRY,2025-11,2025,228334.25,428334.25,114.1671,428334.25,0.0,104365.95,52.2
2025-12-01,2025-12-30,2025-12-30,27814.5,28350,27250,28500,27100,269.94,418.12,153.36,107.71,0.0,0.0,0.0,0.0,426.99,0.0,426.99,65,1,27754.35,-276.98900000000003,-18004.29,EXPIRY,2025-12,2025,256088.6,456088.6,128.0443,456088.6,0.0,105906.45,53.0
2026-01-12,2026-01-27,2026-01-27,27518.5,28050,26950,28200,26800,92.71,76.88,64.41,45.59,0.0,0.0,0.0,0.0,59.58,0.0,59.58,60,1,3574.8,90.418,5425.08,EXPIRY,2026-01,2026,259663.4,459663.4,129.8317,459663.4,0.0,105600.0,52.8
2026-02-02,2026-02-19,2026-02-24,26799.0,27350,26250,27500,26100,203.5,176.35,169.32,145.45,988.55,6.1,582.5,6.7,65.08,413.56,-348.48,60,1,-20908.8,84.92399999999998,5095.44,SL,2026-02,2026,238754.6,438754.6,119.3773,459663.4,-4.5487,90457.8,45.2
2026-04-06,2026-04-28,2026-04-28,24603.1,25100,24100,25250,23950,2428.83,43.32,84.97,705.08,837.5,0.0,687.5,0.0,1682.11,153.0,1529.11,60,1,91746.6,-1532.1069999999995,-91926.42,EXPIRY,2026-04,2026,330501.2,530501.2,165.2506,530501.2,0.0,52965.0,26.5
2026-05-04,2026-05-26,2026-05-26,25814.4,26350,25300,26500,25150,476.92,243.48,274.18,267.39,0.0,0.0,0.0,0.0,178.83,0.0,178.83,60,1,10729.8,-28.82899999999995,-1729.74,EXPIRY,2026-05,2026,341231.0,541231.0,170.6155,541231.0,0.0,72871.8,36.4
