entry_date,exit_date,expiry,spot,ce_k,pe_k,wce_k,wpe_k,ce_entry_px,pe_entry_px,wce_entry_px,wpe_entry_px,ce_exit_px,pe_exit_px,wce_exit_px,wpe_exit_px,net_credit,exit_debit,pnl_unit,lot,lots,pnl_total,max_loss_per_unit,max_loss_total,margin_required_inr,margin_pct_of_capital,exit_reason,month,year,running_pnl,equity,peak,drawdown_pct
2024-10-07,2024-10-31,2024-10-31,24795.8,26050,23550,26550,23050,40.62,55.66,24.03,43.41,0.0,0.0,0.0,0.0,28.83,0.0,28.83,75,1,2162.25,471.16949999999997,35337.712499999994,121422.0,60.7,EXPIRY,2024-10,2024,8665.75,208665.75,208665.75,0.0
2024-11-11,2024-11-13,2024-11-28,24141.3,25350,22950,25850,22450,10.53,18.35,7.19,9.14,7.3,61.2,6.15,18.4,12.56,49.0,-36.45,75,1,-2733.75,487.442,36558.15,121940.25,61.0,SL,2024-11,2024,5932.0,205932.0,208665.75,-1.3101095891395689
2024-12-02,2024-12-26,2024-12-26,24276.0,25500,23050,26000,22550,24.7,43.61,10.92,27.54,0.0,0.0,0.0,0.0,29.84,0.0,29.84,75,1,2238.0,470.15749999999997,35261.8125,120918.0,60.5,EXPIRY,2024-12,2024,8170.0,208170.0,208665.75,-0.23758091589060493
2024-12-30,2025-01-30,2025-01-30,23644.9,24850,22450,25350,21950,49.96,44.99,20.41,24.49,0.0,0.0,0.0,0.0,50.04,0.0,50.04,75,1,3753.0,449.9635,33747.262500000004,117247.5,58.6,EXPIRY,2024-12,2024,11923.0,211923.0,211923.0,0.0
2025-02-03,2025-02-27,2025-02-27,23361.0,24550,22200,25050,21700,21.8,37.08,10.29,19.55,0.0,0.0,0.0,0.0,29.04,0.0,29.04,75,1,2178.0,470.9625,35322.1875,116974.5,58.5,EXPIRY,2025-02,2025,14101.0,214101.0,214101.0,0.0
2025-03-03,2025-03-20,2025-03-27,22119.3,23250,21000,23750,20500,26.63,26.59,12.36,15.35,110.3,1.9,8.3,1.45,25.51,114.23,-88.72,75,1,-6654.0,474.493,35586.975,110759.25,55.4,SL,2025-03,2025,7447.0,207447.0,214101.0,-3.1078789916908374
2025-05-19,2025-05-29,2025-05-29,24945.5,26200,23700,26700,23200,9.84,20.98,4.48,12.36,0.0,0.0,0.0,0.0,13.97,0.0,13.97,75,1,1047.75,486.0275,36452.0625,125982.0,63.0,EXPIRY,2025-05,2025,8494.75,208494.75,214101.0,-2.618507153166029
2025-06-02,2025-06-26,2025-06-26,24716.6,25950,23500,26450,23000,59.16,65.73,25.59,41.46,0.0,0.0,0.0,0.0,57.85,0.0,57.85,75,1,4338.75,442.155,33161.625,121068.75,60.5,EXPIRY,2025-06,2025,12833.5,212833.5,214101.0,-0.592010312889711
2025-06-30,2025-07-31,2025-07-31,25517.0,26800,24250,27300,23750,33.86,42.0,14.72,26.33,0.0,0.0,0.0,0.0,34.8,0.0,34.8,75,1,2610.0,465.201,34890.075000000004,127098.75,63.5,EXPIRY,2025-06,2025,15443.5,215443.5,215443.5,0.0
2025-08-11,2025-08-28,2025-08-28,24585.0,25800,23350,26300,22850,7.87,14.44,4.43,8.8,0.0,0.0,0.0,0.0,9.09,0.0,9.09,75,1,681.75,490.915,36818.625,124340.25,62.2,EXPIRY,2025-08,2025,16125.25,216125.25,216125.25,0.0
2025-09-01,2025-09-25,2025-09-25,24625.0,25850,23400,26350,22900,16.51,24.1,6.61,15.7,0.0,0.0,0.0,0.0,18.31,0.0,18.31,75,1,1373.25,481.692,36126.9,123914.25,62.0,EXPIRY,2025-09,2025,17498.5,217498.5,217498.5,0.0
2025-10-13,2025-10-28,2025-10-28,25227.3,26500,23950,27000,23450,5.2,13.06,3.33,9.95,0.0,0.0,0.0,0.0,4.98,0.0,4.98,75,1,373.50000000000006,495.02049999999997,37126.5375,127651.5,63.8,EXPIRY,2025-10,2025,17872.0,217872.0,217872.0,0.0
2025-11-03,2025-11-25,2025-11-25,25763.3,27050,24500,27550,24000,19.6,19.64,8.51,13.34,0.0,0.0,0.0,0.0,17.39,0.0,17.39,75,1,1304.25,482.612,36195.9,129813.75,64.9,EXPIRY,2025-11,2025,19176.25,219176.25,219176.25,0.0
2025-12-01,2025-12-30,2025-12-30,26175.8,27500,24850,28000,24350,16.56,20.98,9.2,15.75,0.0,0.0,0.0,0.0,12.58,0.0,12.58,75,1,943.5,487.419,36556.424999999996,131621.25,65.8,EXPIRY,2025-12,2025,20119.75,220119.75,220119.75,0.0
2026-01-12,2026-01-27,2026-01-27,25790.2,27100,24500,27600,24000,7.96,12.65,5.06,9.89,0.0,0.0,0.0,0.0,5.66,0.0,5.66,75,1,424.5,494.342,37075.65,130458.75,65.2,EXPIRY,2026-01,2026,20544.25,220544.25,220544.25,0.0
2026-02-02,2026-02-03,2026-02-24,25088.4,26350,23850,26850,23350,22.82,43.19,14.14,28.75,96.2,17.75,31.2,12.95,23.12,77.83,-54.71,75,1,-4103.25,476.885,35766.375,124793.25,62.4,SL,2026-02,2026,16441.0,216441.0,220544.25,-1.8605109858905864
2026-04-06,2026-04-21,2026-04-28,22968.2,24100,21800,24600,21300,147.48,208.93,75.73,174.63,574.3,3.1,234.3,2.25,106.05,380.05,-273.99,75,1,-20549.25,393.94699999999995,29546.024999999994,98268.0,49.1,SL,2026-04,2026,-4108.25,195891.75,220544.25,-11.178028898962452
2026-05-04,2026-05-26,2026-05-26,24119.3,25350,22900,25850,22400,50.65,74.15,19.89,47.67,0.0,0.0,0.0,0.0,57.24,0.0,57.24,75,1,4293.0,442.7645,33207.3375,117970.5,59.0,EXPIRY,2026-05,2026,184.75,200184.75,220544.25,-9.231480757262998
